date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-10-03,ZA,11,Omicron BA.1,Community,1.076900184881751,2021-09-21,12,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-10-03,ZA,11,Omicron BA.1,Community,1.076900184881751,2021-09-21,12,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-10-07,ZA,110,Omicron BA.1,Community,1.3425380814135883,2021-09-21,16,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-10-01,ZA,111,Omicron BA.1,Community,1.6355040392607354,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-10-02,ZA,112,Omicron BA.1,Community,1.058191274823747,2021-09-21,11,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-01,GB,113,Omicron BA.1,Imported,2,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-01,GB,113,Omicron BA.1,Imported,2,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-01,GB,113,Omicron BA.1,Imported,2,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
